Name,Description,Color
White,"Missing, insufficient, outdated or suspicious data.",#FFFFFF
Green,No particular awareness of the weather is required.,#74D760
Yellow,"The weather is potentially dangerous. The weather phenomena 
that have been forecast are not unusual, but be attentive if you 
intend to practice activities exposed to meteorological risks. 
Keep informed about the expected meteorological 
conditions and do not take any avoidable risk.",#FAEB2A
Orange,"The weather is dangerous. Unusual meteorological phenomena 
have been forecast. Damage and casualties are likely to happen. 
Be very vigilant and keep regularly informed about the detailed 
expected meteorological conditions. Be aware of the risks that 
might be unavoidable. Follow any advice given by your authorities.",#F9CB31
Red,"The weather is very dangerous. Exceptionally intense meteorological 
phenomena have been forecast. Major damage and accidents are 
likely, in many cases with threat to life and limb, over a wide area. 
Keep frequently informed about detailed expected meteorological 
conditions and risks. Follow orders and any advice given by your 
authorities under all circumstances, be prepared for 
extraordinary measures.",#E73611
